area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Under Construction,BTM Layout,4 BHK,Society C,1245,1,1,7840.84
Super built-up  Area,Under Construction,Marathahalli,2 BHK,Society E,876,4,3,5001.8
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Society E,1042,5,2,8324.27
Plot  Area,Immediate Possession,Koramangala,2 Bedroom,Society B,716,5,3,7118.72
Super built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society A,1460,2,0,5939.28
Carpet  Area,Ready To Move,Jayanagar,5 BHK,Society A,1306,2,2,11667.09
Plot  Area,Under Construction,Koramangala,3 Bedroom,Society B,1064,3,2,8192.68
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society C,1189,5,2,9794.31
Carpet  Area,Immediate Possession,Whitefield,5 Bedroom,Society D,1225,4,3,6845.04
Plot  Area,Immediate Possession,Whitefield,3 Bedroom,Society D,1230,1,1,8498.73
Carpet  Area,Immediate Possession,Jayanagar,3 BHK,Society A,872,3,3,7568.96
Super built-up  Area,Ready To Move,Electronic City,4 Bedroom,Society B,1548,3,2,6385.15
Plot  Area,Ready To Move,BTM Layout,1 BHK,Society B,722,4,2,4368.72
Super built-up  Area,Under Construction,HSR Layout,4 BHK,Society B,1232,3,2,10106.87
Plot  Area,Ready To Move,HSR Layout,2 Bedroom,Society E,825,2,3,4054.07
Built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society C,1506,2,0,11654.06
Built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society C,1159,1,1,5450.9
Plot  Area,Ready To Move,Koramangala,4 Bedroom,Society A,1316,5,2,11098.21
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society E,1253,3,0,7929.08
Plot  Area,Ready To Move,Marathahalli,1 Bedroom,Society C,1115,5,2,4981.55
Built-up  Area,Ready To Move,Indira Nagar,1 BHK,Society D,969,5,2,7430.16
Plot  Area,Ready To Move,Indira Nagar,1 BHK,Society D,855,1,2,8078.25
Carpet  Area,Ready To Move,Indira Nagar,1 Bedroom,Society E,833,5,1,5575.4
Built-up  Area,Under Construction,Koramangala,5 BHK,Society B,1916,5,2,13520.74
Carpet  Area,Ready To Move,Koramangala,3 Bedroom,Society C,1436,4,0,9652.57
Built-up  Area,Ready To Move,Koramangala,1 BHK,Society E,1211,1,1,8041.13
Plot  Area,Under Construction,HSR Layout,2 Bedroom,Society E,1589,1,0,11969.57
Plot  Area,Under Construction,Whitefield,4 BHK,Society C,1877,3,0,12745.92
Built-up  Area,Under Construction,Indira Nagar,1 BHK,Society D,772,1,2,6918.68
Built-up  Area,Ready To Move,HSR Layout,3 BHK,Society C,1760,1,0,11358.12
Carpet  Area,Immediate Possession,Indira Nagar,5 BHK,Society B,1519,5,2,11521.43
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Society A,1788,3,1,8251.69
Carpet  Area,Immediate Possession,Electronic City,1 Bedroom,Society C,1302,2,2,4625.96
Plot  Area,Ready To Move,Koramangala,3 BHK,Society E,1127,4,1,10469.35
Plot  Area,Immediate Possession,Electronic City,5 Bedroom,Society B,1033,4,3,4744.6
Super built-up  Area,Under Construction,Electronic City,2 Bedroom,Society E,1316,5,2,6687.09
Built-up  Area,Immediate Possession,Marathahalli,3 BHK,Society C,1185,1,1,6733.5
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society D,1681,3,1,7724.55
Plot  Area,Under Construction,Jayanagar,5 BHK,Society E,1735,2,2,14955.73
Built-up  Area,Under Construction,HSR Layout,2 BHK,Society B,1427,4,2,6836.75
Built-up  Area,Ready To Move,Electronic City,5 Bedroom,Society A,1562,3,0,5491.99
Built-up  Area,Ready To Move,HSR Layout,4 BHK,Society C,1348,5,2,8789.24
Super built-up  Area,Immediate Possession,HSR Layout,1 Bedroom,Society A,635,2,3,3707.5
Carpet  Area,Under Construction,Indira Nagar,3 Bedroom,Society E,1618,4,3,15327.34
Built-up  Area,Immediate Possession,Electronic City,1 Bedroom,Society C,750,2,3,4370.53
Plot  Area,Immediate Possession,Electronic City,2 Bedroom,Society C,1661,4,1,9382.92
Super built-up  Area,Immediate Possession,Koramangala,3 BHK,Society A,1511,3,0,10701.62
Carpet  Area,Ready To Move,Electronic City,2 Bedroom,Society B,711,4,0,4029.4
Plot  Area,Ready To Move,BTM Layout,4 Bedroom,Society B,1102,2,3,6080.36
Built-up  Area,Immediate Possession,BTM Layout,5 Bedroom,Society B,1772,1,1,11690.45
Built-up  Area,Immediate Possession,BTM Layout,1 Bedroom,Society B,631,3,1,3340.91
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Society C,888,4,2,5865.04
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society E,1109,3,3,8933.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Society A,791,4,0,3751.04
Super built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society B,1244,5,3,9508.69
Plot  Area,Ready To Move,Marathahalli,4 BHK,Society D,1815,5,2,9698.7
Carpet  Area,Under Construction,BTM Layout,4 Bedroom,Society C,1347,1,0,6706.3
Super built-up  Area,Under Construction,Indira Nagar,4 BHK,Society D,1869,1,3,12314.93
Built-up  Area,Immediate Possession,Jayanagar,1 Bedroom,Society B,1298,5,1,7203.8
Built-up  Area,Under Construction,Koramangala,5 Bedroom,Society C,1174,5,3,8383.37
Super built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society D,1020,2,0,5076.45
Super built-up  Area,Under Construction,HSR Layout,5 Bedroom,Society B,1078,3,0,7688.23
Super built-up  Area,Ready To Move,Koramangala,1 BHK,Society C,779,4,1,8013.79
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society A,1749,1,1,10763.94
Plot  Area,Immediate Possession,Whitefield,5 Bedroom,Society D,1453,2,0,6745.6
Plot  Area,Ready To Move,Whitefield,2 BHK,Society A,1195,2,2,6523.23
Super built-up  Area,Immediate Possession,Electronic City,2 BHK,Society B,967,2,1,3952.26
Plot  Area,Ready To Move,Electronic City,4 BHK,Society D,1358,3,3,7721.83
Plot  Area,Ready To Move,Koramangala,5 Bedroom,Society E,1347,5,1,11666.78
Plot  Area,Under Construction,Koramangala,1 BHK,Society A,942,5,3,6130.83
Carpet  Area,Under Construction,Jayanagar,1 Bedroom,Society A,666,3,1,4848.28
Plot  Area,Ready To Move,Whitefield,1 Bedroom,Society A,869,5,0,5858.98
Built-up  Area,Immediate Possession,Indira Nagar,4 BHK,Society A,1575,2,2,14795.57
Built-up  Area,Ready To Move,HSR Layout,1 Bedroom,Society D,692,1,3,5278.91
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society B,1098,2,1,7474.77
Carpet  Area,Immediate Possession,Marathahalli,2 BHK,Society B,1018,2,0,5485.59
Super built-up  Area,Ready To Move,Koramangala,5 BHK,Society D,1218,3,1,11676.42
Plot  Area,Immediate Possession,Koramangala,5 BHK,Society D,1489,1,2,12636.16
Built-up  Area,Immediate Possession,Electronic City,4 Bedroom,Society A,1489,5,2,6288.33
Super built-up  Area,Under Construction,HSR Layout,2 Bedroom,Society C,1577,2,2,7432.59
Plot  Area,Ready To Move,Whitefield,3 Bedroom,Society B,1664,2,2,11875.68
Super built-up  Area,Ready To Move,Jayanagar,5 BHK,Society A,1029,2,2,7000.68
Built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society E,940,3,0,6206.1
Built-up  Area,Immediate Possession,BTM Layout,2 Bedroom,Society C,1251,1,0,8865.47
Plot  Area,Under Construction,Whitefield,1 BHK,Society C,1189,3,0,6985.83
Carpet  Area,Ready To Move,Electronic City,1 BHK,Society A,1421,5,0,5979.77
Carpet  Area,Under Construction,Jayanagar,3 BHK,Society D,952,5,2,7455.24
Super built-up  Area,Under Construction,Whitefield,2 Bedroom,Society B,1612,5,3,6623.81
Super built-up  Area,Ready To Move,Marathahalli,4 Bedroom,Society E,1369,3,1,7125.33
Plot  Area,Immediate Possession,Jayanagar,5 BHK,Society E,1805,2,3,13802.11
Plot  Area,Ready To Move,Koramangala,1 BHK,Society D,652,2,2,6064.1
Super built-up  Area,Under Construction,HSR Layout,4 Bedroom,Society E,1389,5,0,7875.95
Carpet  Area,Under Construction,HSR Layout,3 BHK,Society E,1680,4,1,9475.55
Super built-up  Area,Ready To Move,Jayanagar,2 Bedroom,Society E,946,1,1,6181.2
Super built-up  Area,Ready To Move,Marathahalli,5 BHK,Society B,1766,4,3,10112.33
Carpet  Area,Under Construction,Whitefield,3 Bedroom,Society C,1790,5,2,11752.3
Super built-up  Area,Immediate Possession,Marathahalli,5 BHK,Society B,1560,3,3,8904.48
Plot  Area,Ready To Move,Electronic City,4 BHK,Society E,1152,2,1,3827.01
Carpet  Area,Immediate Possession,Electronic City,2 Bedroom,Society E,1537,5,2,6041.04
Built-up  Area,Under Construction,Whitefield,3 BHK,Society D,1214,4,0,6689.26
Carpet  Area,Immediate Possession,Koramangala,1 Bedroom,Society B,856,4,1,8042.82
Built-up  Area,Under Construction,Jayanagar,2 BHK,Society C,728,3,2,5711.26
Carpet  Area,Immediate Possession,BTM Layout,2 Bedroom,Society C,1636,2,3,8413.38
Carpet  Area,Ready To Move,HSR Layout,5 BHK,Society C,1685,5,2,7995.75
Super built-up  Area,Immediate Possession,Electronic City,3 BHK,Society A,1100,4,3,4193.59
Carpet  Area,Under Construction,Marathahalli,3 BHK,Society D,1747,4,3,10641.01
Built-up  Area,Under Construction,Marathahalli,1 Bedroom,Society E,1125,3,1,6341.12
Built-up  Area,Ready To Move,Koramangala,3 Bedroom,Society B,1150,1,0,11285.74
Built-up  Area,Under Construction,Indira Nagar,2 Bedroom,Society D,855,3,1,4923.01
Carpet  Area,Under Construction,Marathahalli,2 Bedroom,Society E,1202,1,2,4635.88
Plot  Area,Under Construction,Koramangala,5 Bedroom,Society A,1979,5,2,20482.09
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society D,1308,3,2,5880.42
Carpet  Area,Immediate Possession,Whitefield,2 Bedroom,Society B,1396,5,3,6064.36
Plot  Area,Under Construction,Indira Nagar,5 Bedroom,Society A,1620,3,0,13380.08
Super built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society E,1705,3,0,13278.3
Plot  Area,Under Construction,HSR Layout,4 BHK,Society A,1481,3,2,8786.07
Carpet  Area,Ready To Move,Jayanagar,5 Bedroom,Society D,1370,3,1,10991.0
Super built-up  Area,Under Construction,BTM Layout,4 Bedroom,Society D,1531,2,3,7731.45
Built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society E,1229,4,2,7258.43
Carpet  Area,Immediate Possession,Electronic City,1 Bedroom,Society D,613,3,3,2980.48
Built-up  Area,Under Construction,Electronic City,3 Bedroom,Society E,1012,3,2,5898.38
Plot  Area,Ready To Move,Jayanagar,5 BHK,Society D,1755,1,3,12004.95
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society A,921,2,3,6649.83
Super built-up  Area,Under Construction,Koramangala,3 BHK,Society D,1765,3,2,12861.92
Built-up  Area,Ready To Move,BTM Layout,1 Bedroom,Society B,1226,4,1,6801.99
Carpet  Area,Ready To Move,Electronic City,2 BHK,Society B,1361,3,3,6405.77
Plot  Area,Immediate Possession,Indira Nagar,1 Bedroom,Society A,1471,4,0,10383.83
Super built-up  Area,Immediate Possession,Jayanagar,3 Bedroom,Society E,974,5,3,6586.16
Carpet  Area,Ready To Move,Indira Nagar,1 BHK,Society E,798,2,3,6714.05
Super built-up  Area,Under Construction,Electronic City,3 BHK,Society A,1185,2,2,5504.13
Super built-up  Area,Under Construction,Jayanagar,1 Bedroom,Society D,1381,2,1,9403.37
Built-up  Area,Immediate Possession,Koramangala,4 BHK,Society D,1270,5,2,8830.65
Plot  Area,Under Construction,Electronic City,2 Bedroom,Society B,1136,3,3,5584.98
Built-up  Area,Under Construction,Koramangala,3 BHK,Society B,1388,4,2,11817.82
Plot  Area,Immediate Possession,Electronic City,1 Bedroom,Society E,843,1,2,3954.41
Built-up  Area,Ready To Move,HSR Layout,2 Bedroom,Society B,1688,4,3,12315.27
Built-up  Area,Immediate Possession,BTM Layout,4 Bedroom,Society B,1690,3,2,10325.79
Carpet  Area,Immediate Possession,Jayanagar,3 Bedroom,Society E,1090,5,0,6809.97
Super built-up  Area,Under Construction,Marathahalli,2 BHK,Society D,1482,3,1,6189.21
Plot  Area,Under Construction,HSR Layout,1 BHK,Society B,1353,1,1,6401.98
Built-up  Area,Ready To Move,Electronic City,4 BHK,Society E,1762,3,3,6566.96
Super built-up  Area,Ready To Move,Koramangala,4 Bedroom,Society A,998,3,2,9481.53
Carpet  Area,Under Construction,BTM Layout,3 Bedroom,Society B,1201,3,2,7458.88
Plot  Area,Under Construction,Marathahalli,4 BHK,Society B,1819,5,3,7002.89
Carpet  Area,Ready To Move,HSR Layout,1 BHK,Society C,621,1,3,3665.54
Built-up  Area,Immediate Possession,BTM Layout,2 BHK,Society B,743,2,2,4023.0
Super built-up  Area,Ready To Move,BTM Layout,5 BHK,Society D,1565,5,2,8858.97
Super built-up  Area,Immediate Possession,Electronic City,3 BHK,Society B,834,4,0,2931.13
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,Society C,1608,4,0,11216.79
Super built-up  Area,Ready To Move,Indira Nagar,3 Bedroom,Society C,1780,5,3,9666.29
Carpet  Area,Immediate Possession,Electronic City,2 BHK,Society E,1312,3,3,6127.09
Carpet  Area,Ready To Move,HSR Layout,2 BHK,Society C,962,5,2,6334.51
Plot  Area,Ready To Move,HSR Layout,4 BHK,Society A,1870,5,1,15011.55
Plot  Area,Immediate Possession,BTM Layout,1 Bedroom,Society D,1111,1,0,7679.73
Built-up  Area,Under Construction,Indira Nagar,1 Bedroom,Society E,1228,5,1,7296.66
Plot  Area,Under Construction,BTM Layout,2 Bedroom,Society D,1414,4,3,10878.95
Super built-up  Area,Under Construction,Koramangala,3 BHK,Society A,1219,3,3,10433.93
Built-up  Area,Immediate Possession,Indira Nagar,1 BHK,Society B,1062,1,2,9419.95
Built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society A,1799,4,2,14968.2
Carpet  Area,Ready To Move,Jayanagar,5 Bedroom,Society C,1365,2,0,6879.23
Built-up  Area,Ready To Move,Whitefield,1 BHK,Society E,766,4,0,4593.14
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society A,1688,5,0,13870.81
Plot  Area,Immediate Possession,Whitefield,1 Bedroom,Society A,623,5,2,3713.39
Carpet  Area,Immediate Possession,BTM Layout,1 BHK,Society A,1282,4,3,7577.36
Carpet  Area,Ready To Move,Electronic City,4 Bedroom,Society E,1110,3,2,4145.93
Plot  Area,Ready To Move,Marathahalli,5 Bedroom,Society A,1180,5,2,7599.27
Carpet  Area,Immediate Possession,Koramangala,4 BHK,Society E,1359,2,1,13140.33
Plot  Area,Under Construction,Jayanagar,2 Bedroom,Society B,1445,5,0,12304.76
Plot  Area,Ready To Move,Electronic City,3 BHK,Society A,1593,3,3,6654.02
Super built-up  Area,Under Construction,Whitefield,4 Bedroom,Society D,1412,2,0,7543.0
Super built-up  Area,Under Construction,HSR Layout,2 Bedroom,Society D,924,4,1,7078.37
Plot  Area,Immediate Possession,Koramangala,1 BHK,Society B,1430,4,0,12261.79
Built-up  Area,Ready To Move,Indira Nagar,4 Bedroom,Society B,1077,3,0,9425.3
Plot  Area,Ready To Move,Indira Nagar,4 BHK,Society A,1795,2,3,14343.11
Built-up  Area,Ready To Move,BTM Layout,2 Bedroom,Society B,731,4,2,5538.42
Carpet  Area,Ready To Move,Jayanagar,2 Bedroom,Society E,1149,2,3,9606.22
Super built-up  Area,Ready To Move,HSR Layout,3 Bedroom,Society C,1245,5,0,6324.0
Built-up  Area,Immediate Possession,BTM Layout,1 Bedroom,Society C,892,5,1,3832.14
Plot  Area,Immediate Possession,BTM Layout,4 BHK,Society A,1251,5,3,9639.24
Carpet  Area,Immediate Possession,Koramangala,4 BHK,Society C,1054,5,1,6886.48
Plot  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1286,3,2,11631.68
Plot  Area,Ready To Move,Whitefield,1 BHK,Society D,1305,2,2,5645.56
Plot  Area,Under Construction,Koramangala,4 BHK,Society A,1401,1,0,9524.06
Super built-up  Area,Ready To Move,Indira Nagar,1 Bedroom,Society C,1464,5,2,13712.84
Built-up  Area,Immediate Possession,Electronic City,3 BHK,Society C,1000,5,3,3651.16
Super built-up  Area,Immediate Possession,BTM Layout,2 Bedroom,Society A,958,5,1,5046.89
Super built-up  Area,Immediate Possession,Jayanagar,5 BHK,Society B,1856,3,0,15015.76
Built-up  Area,Under Construction,HSR Layout,5 BHK,Society A,1194,2,3,5525.15
Carpet  Area,Ready To Move,Indira Nagar,3 Bedroom,Society D,1616,3,2,8954.25
Super built-up  Area,Ready To Move,Whitefield,5 BHK,Society A,1286,2,1,8432.68
Plot  Area,Immediate Possession,Jayanagar,3 BHK,Society A,1229,3,0,9928.19
Super built-up  Area,Immediate Possession,HSR Layout,5 BHK,Society A,1941,5,2,9088.7
Carpet  Area,Immediate Possession,BTM Layout,5 Bedroom,Society E,1441,5,3,6070.06
Built-up  Area,Under Construction,Indira Nagar,4 Bedroom,Society B,1666,3,3,13880.59
Super built-up  Area,Immediate Possession,Jayanagar,2 Bedroom,Society C,1326,4,2,11628.05
Carpet  Area,Immediate Possession,Jayanagar,2 Bedroom,Society D,1366,1,1,8852.54
Plot  Area,Immediate Possession,Koramangala,5 Bedroom,Society A,1354,4,0,9511.86
Super built-up  Area,Immediate Possession,Whitefield,4 Bedroom,Society E,953,5,3,5415.08
Super built-up  Area,Under Construction,Marathahalli,2 Bedroom,Society A,1577,2,0,7356.83
Plot  Area,Ready To Move,HSR Layout,4 BHK,Society C,1451,3,1,7475.84
Plot  Area,Ready To Move,Indira Nagar,5 BHK,Society D,1758,1,2,14934.12
Plot  Area,Under Construction,Whitefield,1 BHK,Society B,1584,3,2,10936.26
Super built-up  Area,Immediate Possession,HSR Layout,3 Bedroom,Society D,1425,1,3,6661.68
Plot  Area,Under Construction,Whitefield,2 Bedroom,Society D,939,3,3,6695.85
Carpet  Area,Under Construction,Whitefield,1 BHK,Society A,1252,1,2,6031.9
Super built-up  Area,Ready To Move,Electronic City,3 Bedroom,Society D,891,3,1,3935.96
Carpet  Area,Immediate Possession,Whitefield,1 Bedroom,Society B,751,5,3,3424.01
Built-up  Area,Under Construction,Marathahalli,5 BHK,Society C,1239,3,1,4467.64
Plot  Area,Immediate Possession,Marathahalli,5 BHK,Society B,1698,3,0,8092.97
Plot  Area,Ready To Move,BTM Layout,1 BHK,Society D,1589,2,3,7702.08
Carpet  Area,Under Construction,Koramangala,5 Bedroom,Society B,1716,3,3,11881.18
Super built-up  Area,Immediate Possession,HSR Layout,2 BHK,Society A,1163,1,0,6136.69
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Society A,1138,3,0,5290.02
Carpet  Area,Immediate Possession,Electronic City,4 Bedroom,Society A,918,3,1,3096.43
Plot  Area,Immediate Possession,BTM Layout,1 BHK,Society C,624,3,3,3280.66
Built-up  Area,Immediate Possession,Electronic City,4 BHK,Society E,1433,2,3,5602.35
Carpet  Area,Ready To Move,Koramangala,4 Bedroom,Society A,1547,2,1,14485.64
Plot  Area,Ready To Move,Koramangala,1 BHK,Society E,1136,3,1,11445.81
Plot  Area,Ready To Move,Koramangala,3 Bedroom,Society B,1256,4,0,12928.37
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society A,1723,2,1,11778.81
Built-up  Area,Immediate Possession,Whitefield,3 Bedroom,Society C,1365,5,1,7406.53
Plot  Area,Ready To Move,HSR Layout,1 Bedroom,Society D,980,5,0,7985.45
Super built-up  Area,Immediate Possession,Koramangala,1 BHK,Society B,1231,2,2,8736.05
Super built-up  Area,Under Construction,Indira Nagar,4 Bedroom,Society E,1438,2,2,13333.29
Super built-up  Area,Immediate Possession,Electronic City,2 Bedroom,Society A,755,3,2,3665.52
Built-up  Area,Under Construction,Jayanagar,5 BHK,Society B,1528,4,3,9110.48
Built-up  Area,Immediate Possession,Koramangala,3 Bedroom,Society A,850,1,3,5033.58
Built-up  Area,Under Construction,Marathahalli,4 Bedroom,Society A,1518,1,2,7061.83
Super built-up  Area,Under Construction,Koramangala,5 Bedroom,Society D,1271,4,3,11471.27
Plot  Area,Immediate Possession,Indira Nagar,4 Bedroom,Society A,1795,5,0,12741.28
Carpet  Area,Ready To Move,Koramangala,5 Bedroom,Society C,1155,4,2,11013.13
Super built-up  Area,Immediate Possession,Indira Nagar,5 Bedroom,Society C,1743,4,0,10490.2
Carpet  Area,Ready To Move,Indira Nagar,1 BHK,Society B,1530,3,0,13969.0
Super built-up  Area,Under Construction,BTM Layout,5 BHK,Society D,1727,5,0,8921.59
Carpet  Area,Immediate Possession,HSR Layout,2 Bedroom,Society B,1193,1,1,6361.75
Super built-up  Area,Immediate Possession,Whitefield,2 BHK,Society A,727,1,2,4856.26
Super built-up  Area,Ready To Move,BTM Layout,4 BHK,Society E,1017,2,0,4628.86
Plot  Area,Under Construction,Marathahalli,2 BHK,Society B,1567,5,2,7076.51
Carpet  Area,Under Construction,Koramangala,2 Bedroom,Society E,1070,2,3,6185.08
Carpet  Area,Ready To Move,Jayanagar,3 BHK,Society B,1024,3,3,5225.76
Carpet  Area,Ready To Move,HSR Layout,4 Bedroom,Society B,1222,4,3,7556.07
Super built-up  Area,Ready To Move,BTM Layout,3 BHK,Society B,1188,4,2,7122.6
Built-up  Area,Under Construction,Electronic City,5 BHK,Society E,1570,4,1,7471.13
Built-up  Area,Ready To Move,Electronic City,3 BHK,Society E,1437,5,3,7190.61
Carpet  Area,Ready To Move,Indira Nagar,5 BHK,Society C,1316,4,2,12398.32
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,Society A,1650,2,2,10140.36
Carpet  Area,Under Construction,Electronic City,2 BHK,Society B,1645,2,1,7569.05
Carpet  Area,Under Construction,HSR Layout,4 BHK,Society B,1668,5,3,11432.82
Carpet  Area,Ready To Move,Marathahalli,1 BHK,Society A,682,3,1,3162.73
Carpet  Area,Under Construction,Marathahalli,4 Bedroom,Society A,1892,1,3,12178.12
